position_x,position_y,position_z
6.143240139213166362e-01,-4.586023534656976652e-01,1.655994665510574226e-01
6.141227893204637134e-01,-4.584333646301497756e-01,1.654419689413789696e-01
6.139318057975602372e-01,-4.582604272709000504e-01,1.652949408361218397e-01
6.137501221104951776e-01,-4.580823863423940101e-01,1.651483156171450473e-01
6.135779831835999065e-01,-4.578969661649406331e-01,1.650016859670056513e-01
6.134125882100098792e-01,-4.577096888400737362e-01,1.648637239409130872e-01
6.132603877280917715e-01,-4.575236803409059028e-01,1.647420422431876974e-01
6.131190279086990991e-01,-4.573390643146727497e-01,1.646267839471977079e-01
6.129786152742509042e-01,-4.571502569513149483e-01,1.645107452083449662e-01
6.128451173837058397e-01,-4.569562034923181360e-01,1.643869601971498784e-01
6.127237396446655326e-01,-4.567553986972953117e-01,1.642640635609511346e-01
6.126200893649125234e-01,-4.565554037088280226e-01,1.641548426087481305e-01
6.125234276015931734e-01,-4.563595811321921603e-01,1.640584205446691812e-01
6.124388689793697216e-01,-4.561615754492285846e-01,1.639665695494383346e-01
6.123751570787880905e-01,-4.559534801974178264e-01,1.638752129872776409e-01
6.123229484820402746e-01,-4.557350654539301105e-01,1.637810535526350308e-01
6.122857658600727726e-01,-4.555167438793644719e-01,1.636881874543575088e-01
6.122560231187614832e-01,-4.553029912332246520e-01,1.635988050965059282e-01
6.122288870631718005e-01,-4.550870213172752421e-01,1.635121565391139675e-01
6.122172928600542186e-01,-4.548629807644437029e-01,1.634267266067784274e-01
6.122247847673654153e-01,-4.546322757704014395e-01,1.633436517058036164e-01
6.122416045780064708e-01,-4.543994704684928276e-01,1.632648478927092306e-01
6.122577551439929433e-01,-4.541775737853923633e-01,1.631905371452231635e-01
6.122719728527812322e-01,-4.539686517391092191e-01,1.631191097824697678e-01
6.122963580251483684e-01,-4.537564858395313205e-01,1.630451208071092006e-01
6.123332068955756879e-01,-4.535348344875553273e-01,1.629732045982428823e-01
6.123759122006142697e-01,-4.533093414760949180e-01,1.629052127491819602e-01
